title,authors,pub_year,journal,abb,cit_tot,year,citation,tot,field,age,decade,hdecade
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,1994,10,10,Other,1,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,1995,4,14,Other,2,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,1996,9,23,Other,3,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,1997,16,39,Other,4,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,1998,15,54,Other,5,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,1999,15,69,Other,6,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,2000,16,85,Other,7,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,2001,32,117,Other,8,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,2002,25,142,Other,9,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,2003,23,165,Other,10,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,2004,32,197,Other,11,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,2005,33,230,Other,12,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,2006,56,286,Other,13,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,2007,66,352,Other,14,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,2008,65,417,Other,15,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,2009,77,494,Other,16,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,2010,80,574,Other,17,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,2011,96,670,Other,18,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,2012,87,757,Other,19,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,2013,86,843,Other,20,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,2014,104,947,Other,21,1990s,1990-95
The New Second Generation,Portes and Zhou,1993,Annals of the American Academy of PS and SS,AAA,1034,2015,87,1034,Other,22,1990s,1990-95
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,1999,0,0,Other,0,2000s,2000-05
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,2000,3,3,Other,0,2000s,2000-05
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,2001,25,28,Other,1,2000s,2000-05
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,2002,35,63,Other,2,2000s,2000-05
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,2003,47,110,Other,3,2000s,2000-05
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,2004,47,157,Other,4,2000s,2000-05
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,2005,47,204,Other,5,2000s,2000-05
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,2006,47,251,Other,6,2000s,2000-05
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,2007,48,299,Other,7,2000s,2000-05
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,2008,58,357,Other,8,2000s,2000-05
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,2009,78,435,Other,9,2000s,2000-05
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,2010,81,516,Other,10,2000s,2000-05
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,2011,94,610,Other,11,2000s,2000-05
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,2012,93,703,Other,12,2000s,2000-05
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,2013,119,822,Other,13,2000s,2000-05
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,2014,123,945,Other,14,2000s,2000-05
"Increasing Returns, Path Dependence, and the Study of Politics",Pierson,2000,American Political Science Review,APSR,1024,2015,79,1024,Other,15,2000s,2000-05
